pin,slack
CLK_ibuf_RNIVQ04/U0_RGB1:YR,
Q_obuf[4]/U0/U_IOPAD:D,
Q_obuf[4]/U0/U_IOPAD:E,
Q_obuf[4]/U0/U_IOPAD:PAD,
Q_obuf[31]/U0/U_IOENFF:A,
Q_obuf[31]/U0/U_IOENFF:Y,
Q_obuf[5]/U0/U_IOPAD:D,
Q_obuf[5]/U0/U_IOPAD:E,
Q_obuf[5]/U0/U_IOPAD:PAD,
Q_int[3]:ALn,
Q_int[3]:CLK,328
Q_int[3]:D,328
Q_int[3]:EN,
Q_int[3]:Q,328
Q_obuf[29]/U0/U_IOPAD:D,
Q_obuf[29]/U0/U_IOPAD:E,
Q_obuf[29]/U0/U_IOPAD:PAD,
Q_obuf[29]/U0/U_IOOUTFF:A,
Q_obuf[29]/U0/U_IOOUTFF:Y,
Q_obuf[25]/U0/U_IOENFF:A,
Q_obuf[25]/U0/U_IOENFF:Y,
Q_obuf[30]/U0/U_IOENFF:A,
Q_obuf[30]/U0/U_IOENFF:Y,
Q_obuf[26]/U0/U_IOENFF:A,
Q_obuf[26]/U0/U_IOENFF:Y,
CLK_ibuf_RNIVQ04/U0:An,
CLK_ibuf_RNIVQ04/U0:YSn,
D_ibuf/U0/U_IOINFF:A,
D_ibuf/U0/U_IOINFF:Y,
Q_int[10]:ALn,
Q_int[10]:CLK,328
Q_int[10]:D,328
Q_int[10]:EN,
Q_int[10]:Q,328
Q_obuf[18]/U0/U_IOENFF:A,
Q_obuf[18]/U0/U_IOENFF:Y,
Q_obuf[4]/U0/U_IOOUTFF:A,
Q_obuf[4]/U0/U_IOOUTFF:Y,
RST_ibuf_RNIUR47/U0:An,
RST_ibuf_RNIUR47/U0:YSn,
Q_obuf[12]/U0/U_IOPAD:D,
Q_obuf[12]/U0/U_IOPAD:E,
Q_obuf[12]/U0/U_IOPAD:PAD,
Q_obuf[21]/U0/U_IOOUTFF:A,
Q_obuf[21]/U0/U_IOOUTFF:Y,
Q_obuf[29]/U0/U_IOENFF:A,
Q_obuf[29]/U0/U_IOENFF:Y,
Q_int[11]:ALn,
Q_int[11]:CLK,328
Q_int[11]:D,328
Q_int[11]:EN,
Q_int[11]:Q,328
Q_obuf[27]/U0/U_IOPAD:D,
Q_obuf[27]/U0/U_IOPAD:E,
Q_obuf[27]/U0/U_IOPAD:PAD,
Q_obuf[7]/U0/U_IOPAD:D,
Q_obuf[7]/U0/U_IOPAD:E,
Q_obuf[7]/U0/U_IOPAD:PAD,
Q_obuf[9]/U0/U_IOPAD:D,
Q_obuf[9]/U0/U_IOPAD:E,
Q_obuf[9]/U0/U_IOPAD:PAD,
Q_obuf[24]/U0/U_IOENFF:A,
Q_obuf[24]/U0/U_IOENFF:Y,
Q_obuf[6]/U0/U_IOENFF:A,
Q_obuf[6]/U0/U_IOENFF:Y,
Q_int[8]:ALn,
Q_int[8]:CLK,328
Q_int[8]:D,328
Q_int[8]:EN,
Q_int[8]:Q,328
Q_obuf[15]/U0/U_IOENFF:A,
Q_obuf[15]/U0/U_IOENFF:Y,
Q_obuf[16]/U0/U_IOENFF:A,
Q_obuf[16]/U0/U_IOENFF:Y,
Q_obuf[9]/U0/U_IOENFF:A,
Q_obuf[9]/U0/U_IOENFF:Y,
Q_obuf[0]/U0/U_IOOUTFF:A,
Q_obuf[0]/U0/U_IOOUTFF:Y,
Q_obuf[19]/U0/U_IOENFF:A,
Q_obuf[19]/U0/U_IOENFF:Y,
Q_obuf[3]/U0/U_IOOUTFF:A,
Q_obuf[3]/U0/U_IOOUTFF:Y,
Q_obuf[13]/U0/U_IOPAD:D,
Q_obuf[13]/U0/U_IOPAD:E,
Q_obuf[13]/U0/U_IOPAD:PAD,
Q_obuf[0]/U0/U_IOENFF:A,
Q_obuf[0]/U0/U_IOENFF:Y,
Q_int[25]:ALn,
Q_int[25]:CLK,328
Q_int[25]:D,328
Q_int[25]:EN,
Q_int[25]:Q,328
Q_obuf[31]/U0/U_IOPAD:D,
Q_obuf[31]/U0/U_IOPAD:E,
Q_obuf[31]/U0/U_IOPAD:PAD,
CLK_ibuf/U0/U_IOPAD:PAD,
CLK_ibuf/U0/U_IOPAD:Y,
Q_obuf[21]/U0/U_IOENFF:A,
Q_obuf[21]/U0/U_IOENFF:Y,
Q_obuf[15]/U0/U_IOOUTFF:A,
Q_obuf[15]/U0/U_IOOUTFF:Y,
EN_ibuf/U0/U_IOINFF:A,
EN_ibuf/U0/U_IOINFF:Y,
Q_obuf[4]/U0/U_IOENFF:A,
Q_obuf[4]/U0/U_IOENFF:Y,
Q_obuf[14]/U0/U_IOENFF:A,
Q_obuf[14]/U0/U_IOENFF:Y,
Q_obuf[13]/U0/U_IOOUTFF:A,
Q_obuf[13]/U0/U_IOOUTFF:Y,
Q_int[2]:ALn,
Q_int[2]:CLK,328
Q_int[2]:D,328
Q_int[2]:EN,
Q_int[2]:Q,328
Q_obuf[5]/U0/U_IOENFF:A,
Q_obuf[5]/U0/U_IOENFF:Y,
Q_obuf[20]/U0/U_IOENFF:A,
Q_obuf[20]/U0/U_IOENFF:Y,
Q_obuf[8]/U0/U_IOOUTFF:A,
Q_obuf[8]/U0/U_IOOUTFF:Y,
Q_obuf[16]/U0/U_IOPAD:D,
Q_obuf[16]/U0/U_IOPAD:E,
Q_obuf[16]/U0/U_IOPAD:PAD,
Q_obuf[3]/U0/U_IOPAD:D,
Q_obuf[3]/U0/U_IOPAD:E,
Q_obuf[3]/U0/U_IOPAD:PAD,
RST_ibuf_RNIUR47/U0_RGB1_RGB0:An,
RST_ibuf_RNIUR47/U0_RGB1_RGB0:YR,
Q_int[24]:ALn,
Q_int[24]:CLK,328
Q_int[24]:D,328
Q_int[24]:EN,
Q_int[24]:Q,328
Q_obuf[2]/U0/U_IOOUTFF:A,
Q_obuf[2]/U0/U_IOOUTFF:Y,
Q_obuf[11]/U0/U_IOPAD:D,
Q_obuf[11]/U0/U_IOPAD:E,
Q_obuf[11]/U0/U_IOPAD:PAD,
Q_obuf[28]/U0/U_IOPAD:D,
Q_obuf[28]/U0/U_IOPAD:E,
Q_obuf[28]/U0/U_IOPAD:PAD,
Q_int[15]:ALn,
Q_int[15]:CLK,328
Q_int[15]:D,328
Q_int[15]:EN,
Q_int[15]:Q,328
Q_obuf[11]/U0/U_IOENFF:A,
Q_obuf[11]/U0/U_IOENFF:Y,
Q_obuf[10]/U0/U_IOENFF:A,
Q_obuf[10]/U0/U_IOENFF:Y,
ip_interface_inst:B,
Q_obuf[25]/U0/U_IOOUTFF:A,
Q_obuf[25]/U0/U_IOOUTFF:Y,
EN_ibuf/U0/U_IOPAD:PAD,
EN_ibuf/U0/U_IOPAD:Y,
Q_obuf[20]/U0/U_IOPAD:D,
Q_obuf[20]/U0/U_IOPAD:E,
Q_obuf[20]/U0/U_IOPAD:PAD,
Q_obuf[5]/U0/U_IOOUTFF:A,
Q_obuf[5]/U0/U_IOOUTFF:Y,
Q_obuf[23]/U0/U_IOOUTFF:A,
Q_obuf[23]/U0/U_IOOUTFF:Y,
Q_obuf[1]/U0/U_IOENFF:A,
Q_obuf[1]/U0/U_IOENFF:Y,
Q_obuf[15]/U0/U_IOPAD:D,
Q_obuf[15]/U0/U_IOPAD:E,
Q_obuf[15]/U0/U_IOPAD:PAD,
Q_int[14]:ALn,
Q_int[14]:CLK,328
Q_int[14]:D,328
Q_int[14]:EN,
Q_int[14]:Q,328
Q_obuf[24]/U0/U_IOPAD:D,
Q_obuf[24]/U0/U_IOPAD:E,
Q_obuf[24]/U0/U_IOPAD:PAD,
Q_int[6]:ALn,
Q_int[6]:CLK,328
Q_int[6]:D,328
Q_int[6]:EN,
Q_int[6]:Q,328
Q_obuf[14]/U0/U_IOOUTFF:A,
Q_obuf[14]/U0/U_IOOUTFF:Y,
Q_int[1]:ALn,
Q_int[1]:CLK,328
Q_int[1]:D,328
Q_int[1]:EN,
Q_int[1]:Q,328
Q_obuf[30]/U0/U_IOOUTFF:A,
Q_obuf[30]/U0/U_IOOUTFF:Y,
Q_obuf[27]/U0/U_IOENFF:A,
Q_obuf[27]/U0/U_IOENFF:Y,
Q_int[7]:ALn,
Q_int[7]:CLK,328
Q_int[7]:D,328
Q_int[7]:EN,
Q_int[7]:Q,328
Q_int[27]:ALn,
Q_int[27]:CLK,328
Q_int[27]:D,328
Q_int[27]:EN,
Q_int[27]:Q,328
Q_int[23]:ALn,
Q_int[23]:CLK,328
Q_int[23]:D,325
Q_int[23]:EN,
Q_int[23]:Q,328
Q_obuf[19]/U0/U_IOPAD:D,
Q_obuf[19]/U0/U_IOPAD:E,
Q_obuf[19]/U0/U_IOPAD:PAD,
Q_obuf[2]/U0/U_IOENFF:A,
Q_obuf[2]/U0/U_IOENFF:Y,
Q_obuf[17]/U0/U_IOPAD:D,
Q_obuf[17]/U0/U_IOPAD:E,
Q_obuf[17]/U0/U_IOPAD:PAD,
Q_obuf[1]/U0/U_IOOUTFF:A,
Q_obuf[1]/U0/U_IOOUTFF:Y,
Q_obuf[16]/U0/U_IOOUTFF:A,
Q_obuf[16]/U0/U_IOOUTFF:Y,
Q_int[9]:ALn,
Q_int[9]:CLK,328
Q_int[9]:D,328
Q_int[9]:EN,
Q_int[9]:Q,328
Q_obuf[22]/U0/U_IOPAD:D,
Q_obuf[22]/U0/U_IOPAD:E,
Q_obuf[22]/U0/U_IOPAD:PAD,
Q_obuf[22]/U0/U_IOENFF:A,
Q_obuf[22]/U0/U_IOENFF:Y,
Q_obuf[17]/U0/U_IOENFF:A,
Q_obuf[17]/U0/U_IOENFF:Y,
Q_int[17]:ALn,
Q_int[17]:CLK,328
Q_int[17]:D,328
Q_int[17]:EN,
Q_int[17]:Q,328
Q_int[13]:ALn,
Q_int[13]:CLK,328
Q_int[13]:D,328
Q_int[13]:EN,
Q_int[13]:Q,328
Q_obuf[10]/U0/U_IOOUTFF:A,
Q_obuf[10]/U0/U_IOOUTFF:Y,
Q_obuf[9]/U0/U_IOOUTFF:A,
Q_obuf[9]/U0/U_IOOUTFF:Y,
Q_obuf[6]/U0/U_IOPAD:D,
Q_obuf[6]/U0/U_IOPAD:E,
Q_obuf[6]/U0/U_IOPAD:PAD,
Q_obuf[24]/U0/U_IOOUTFF:A,
Q_obuf[24]/U0/U_IOOUTFF:Y,
RST_ibuf_RNIUR47/U0_RGB1:An,
RST_ibuf_RNIUR47/U0_RGB1:YR,
Q_obuf[18]/U0/U_IOOUTFF:A,
Q_obuf[18]/U0/U_IOOUTFF:Y,
Q_int[26]:ALn,
Q_int[26]:CLK,328
Q_int[26]:D,328
Q_int[26]:EN,
Q_int[26]:Q,328
Q_obuf[6]/U0/U_IOOUTFF:A,
Q_obuf[6]/U0/U_IOOUTFF:Y,
Q_int[22]:ALn,
Q_int[22]:CLK,325
Q_int[22]:D,328
Q_int[22]:EN,
Q_int[22]:Q,325
Q_int[29]:ALn,
Q_int[29]:CLK,328
Q_int[29]:D,328
Q_int[29]:EN,
Q_int[29]:Q,328
CLK_ibuf_RNIVQ04/U0_RGB1_RGB0:An,
CLK_ibuf_RNIVQ04/U0_RGB1_RGB0:YR,
Q_int[4]:ALn,
Q_int[4]:CLK,328
Q_int[4]:D,328
Q_int[4]:EN,
Q_int[4]:Q,328
Q_obuf[23]/U0/U_IOENFF:A,
Q_obuf[23]/U0/U_IOENFF:Y,
D_ibuf/U0/U_IOPAD:PAD,
D_ibuf/U0/U_IOPAD:Y,
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
Q_obuf[12]/U0/U_IOENFF:A,
Q_obuf[12]/U0/U_IOENFF:Y,
Q_obuf[12]/U0/U_IOOUTFF:A,
Q_obuf[12]/U0/U_IOOUTFF:Y,
Q_obuf[23]/U0/U_IOPAD:D,
Q_obuf[23]/U0/U_IOPAD:E,
Q_obuf[23]/U0/U_IOPAD:PAD,
Q_int[5]:ALn,
Q_int[5]:CLK,328
Q_int[5]:D,328
Q_int[5]:EN,
Q_int[5]:Q,328
Q_obuf[7]/U0/U_IOENFF:A,
Q_obuf[7]/U0/U_IOENFF:Y,
Q_obuf[26]/U0/U_IOOUTFF:A,
Q_obuf[26]/U0/U_IOOUTFF:Y,
Q_obuf[31]/U0/U_IOOUTFF:A,
Q_obuf[31]/U0/U_IOOUTFF:Y,
Q_int[28]:ALn,
Q_int[28]:CLK,328
Q_int[28]:D,328
Q_int[28]:EN,
Q_int[28]:Q,328
Q_obuf[7]/U0/U_IOOUTFF:A,
Q_obuf[7]/U0/U_IOOUTFF:Y,
Q_obuf[30]/U0/U_IOPAD:D,
Q_obuf[30]/U0/U_IOPAD:E,
Q_obuf[30]/U0/U_IOPAD:PAD,
Q_int[16]:ALn,
Q_int[16]:CLK,328
Q_int[16]:D,328
Q_int[16]:EN,
Q_int[16]:Q,328
Q_obuf[20]/U0/U_IOOUTFF:A,
Q_obuf[20]/U0/U_IOOUTFF:Y,
Q_int[12]:ALn,
Q_int[12]:CLK,328
Q_int[12]:D,328
Q_int[12]:EN,
Q_int[12]:Q,328
Q_obuf[26]/U0/U_IOPAD:D,
Q_obuf[26]/U0/U_IOPAD:E,
Q_obuf[26]/U0/U_IOPAD:PAD,
Q_obuf[13]/U0/U_IOENFF:A,
Q_obuf[13]/U0/U_IOENFF:Y,
Q_int[19]:ALn,
Q_int[19]:CLK,328
Q_int[19]:D,328
Q_int[19]:EN,
Q_int[19]:Q,328
Q_obuf[28]/U0/U_IOOUTFF:A,
Q_obuf[28]/U0/U_IOOUTFF:Y,
Q_obuf[18]/U0/U_IOPAD:D,
Q_obuf[18]/U0/U_IOPAD:E,
Q_obuf[18]/U0/U_IOPAD:PAD,
Q_obuf[17]/U0/U_IOOUTFF:A,
Q_obuf[17]/U0/U_IOOUTFF:Y,
Q_int[0]:ALn,
Q_int[0]:CLK,328
Q_int[0]:D,
Q_int[0]:EN,
Q_int[0]:Q,328
Q[31],
Q[30],
Q[29],
Q[28],
Q[27],
Q[26],
Q[25],
Q[24],
Q[23],
Q[22],
Q[21],
Q[20],
Q[19],
Q[18],
Q[17],
Q[16],
Q[15],
Q[14],
Q[13],
Q[12],
Q[11],
Q[10],
Q[9],
Q[8],
Q[7],
Q[6],
Q[5],
Q[4],
Q[3],
Q[2],
Q[1],
Q[0],
RST,
EN,
D,
CLK,
